HOUR	PIONEER	EDGEBROOK	WHITED	S.BANK	CENTRAL	INGLEWOOD	OVERBROOK	DORMONT	MTLEBANON	POPLAR	C.SHANNON	DORMONT	GLENBURY	OVERBROOK	INGLEWOOD	CENTRAL	
19:00	15		6		12		8		7		14		2		14		12		10		6		14		14		10		11		3
20:00	9		9		9		19		17		18		12		14		18		16		9		19		18		10		9		7
21:00	10		4		13		14		0		8		4		14		8		0		18		16		8		18		11		15
22:00	0		1		18		15		17		10		18		12		6		10		16		18		3		14		16		6
23:00	19		5		3		8		2		7		9		9		4		17		7		12		19		8		14		12
00:00	11		3		2		8		15		17		9		10		2		13		13		9		1		3		9		9
01:00	13		17		11		14		18		17		3		14		19		16		11		7		14		13		11		10
02:00	18		3		1		4		17		7		0		17		10		13		0		16		13		17		11		17
03:00	14		6		18		12		9		11		0		17		14		2		8		4		18		15		4		0
04:00	2		16		1		6		18		9		18		7		5		14		7		4		5		11		6		18
05:00	9		2		19		10		14		0		1		7		1		8		12		2		2		4		7		1
06:00	2		6		8		10		5		14		0		3		13		5		5		0		7		6		1		0
07:00	7		15		11		12		18		8		3		16		5		1		0		11		18		2		18		8
08:00	5		14		8		15		10		11		0		3		3		16		1		17		1		6		3		4
09:00	6		14		2		3		4		3		18		17		16		18		14		6		16		12		10		15
10:00	3		6		8		8		4		14		6		2		17		14		16		16		12		1		10		7
11:00	0		9		11		9		9		16		19		13		1		4		17		6		10		11		18		14
12:00	13		18		3		10		18		10		8		5		9		6		15		4		4		13		3		8
13:00	18		8		1		8		14		19		7		8		14		9		9		18		5		12		1		6
14:00	6		9		16		4		4		19		8		14		9		11		8		7		1		4		6		15
15:00	18		3		15		0		17		0		10		3		9		2		8		10		11		4		13		11
16:00	1		15		10		16		11		10		1		14		11		7		12		17		16		18		5		5
17:00	16		15		19		10		5		7		14		0		2		2		0		3		3		4		16		11
18:00	18		0		14		13		18		7		9		14		7		18		11		15		18		19		1		1
