HOUR	SHADY	HERRON	SWISS	PENN	STEEL	FIRST	SQUARE	S.HILLS
19:00	36		14		21		29		35		33		18		37
20:00	24		24		26		20		25		16		23		10
21:00	22		30		25		24		12		37		38		12
22:00	22		31		19		28		36		38		38		18
23:00	16		36		11		38		18		18		18		10
00:00	37		33		24		10		39		21		35		17
01:00	28		37		10		22		18		38		38		10
02:00	35		27		33		36		16		17		38		36
03:00	22		18		15		18		22		17		11		21
04:00	39		35		11		34		30		14		23		26
05:00	37		22		29		39		24		28		33		30
06:00	23		21		30		36		16		29		38		27
07:00	32		22		11		35		38		17		25		27
08:00	20		38		28		34		20		21		18		37
09:00	33		28		31		25		35		17		10		30
10:00	31		10		38		22		10		27		38		16
11:00	30		16		18		25		14		24		30		20
12:00	21		14		32		33		13		12		17		26
13:00	36		36		27		17		11		11		22		24
14:00	25		17		33		34		37		30		12		11
15:00	13		23		31		18		18		19		24		39
16:00	36		20		22		27		18		30		15		10
17:00	13		17		23		32		29		22		20		27
18:00	28		20		19		38		36		39		20		31
