HOUR	SHADY	HERRON	SWISS	PENN	STEEL	FIRST	SQUARE	S.HILLS
23:00	21		19		23		18		13		19		22		30
00:00	33		18		14		37		39		38		16		38
01:00	19		39		27		10		12		18		21		28
02:00	34		27		23		18		39		34		19		37
03:00	38		39		39		18		32		13		10		30
04:00	36		13		21		35		31		29		15		39
05:00	27		32		33		25		20		11		23		30
06:00	10		22		18		34		13		29		15		12
07:00	12		19		31		11		26		21		39		28
08:00	14		31		15		32		30		28		23		10
09:00	25		29		37		25		35		24		30		17
10:00	16		38		22		39		10		33		34		27
11:00	11		17		24		35		35		10		35		11
12:00	21		22		16		11		38		17		36		26
13:00	26		18		17		31		34		11		33		11
14:00	30		39		35		19		30		13		31		17
15:00	20		35		22		17		16		13		24		32
16:00	22		12		33		35		26		21		31		14
17:00	29		31		15		19		17		21		31		37
18:00	21		38		12		17		34		25		10		12
19:00	18		22		25		38		23		23		11		35
20:00	28		36		20		39		12		37		38		18
21:00	37		28		32		27		26		31		38		11
22:00	35		30		29		21		31		33		26		19
