HOUR	SHADY	HERRON	SWISS	PENN	STEEL	FIRST	SQUARE	S.HILLS
18:00	15		28		37		14		29		15		24		18
19:00	23		33		21		30		30		19		25		35
20:00	14		27		15		12		30		11		28		23
21:00	17		38		13		27		18		16		33		18
22:00	31		17		14		12		12		31		32		10
23:00	12		17		25		23		32		23		12		14
00:00	31		12		18		31		20		23		29		13
01:00	15		25		26		23		34		27		33		23
02:00	23		13		16		15		25		23		31		38
03:00	11		11		13		36		13		26		39		21
04:00	24		26		27		11		26		27		25		39
05:00	35		32		32		29		24		37		29		35
06:00	18		28		28		23		31		17		37		19
07:00	28		37		23		35		25		33		21		22
08:00	21		15		19		14		24		19		22		15
09:00	18		35		18		32		36		34		32		37
10:00	19		27		25		33		18		23		29		29
11:00	30		12		12		15		36		34		11		17
12:00	36		27		22		18		10		21		24		36
13:00	21		33		33		17		33		38		33		39
14:00	23		12		39		14		23		25		14		10
15:00	21		25		15		18		22		35		28		12
16:00	24		12		36		15		38		21		38		36
17:00	30		10		12		21		23		28		11		21
