HOUR	SHADY	HERRON	SWISS	PENN	STEEL	FIRST	SQUARE	S.HILLS
04:00	14		18		26		12		19		4		21		21
05:00	11		2		4		0		8		20		25		22
06:00	17		2		6		18		17		2		15		7
07:00	28		11		23		9		16		2		27		20
08:00	5		11		23		25		24		17		12		11
09:00	7		13		26		23		29		17		9		17
10:00	25		22		16		5		24		0		14		26
11:00	21		7		27		21		8		28		12		25
12:00	27		19		8		7		3		27		20		24
13:00	1		18		7		13		0		7		28		11
14:00	8		26		25		26		25		27		16		11
15:00	0		7		0		21		8		28		7		17
16:00	17		4		4		2		23		14		11		2
17:00	26		29		0		17		26		5		18		8
18:00	18		16		24		10		15		17		17		21
19:00	28		24		14		1		2		9		26		12
20:00	20		27		11		12		2		13		21		17
21:00	24		16		26		7		20		18		23		10
22:00	13		0		20		6		22		5		13		9
23:00	26		21		23		9		0		5		25		29
00:00	11		12		13		15		1		7		5		8
01:00	8		13		14		22		2		29		25		24
02:00	4		12		29		21		7		28		28		12
03:00	4		16		25		22		13		6		0		11
